id,district,block,phc
805,NALBARI,Tihu Reporting Unit,Jalkhana MPHC
806,NALBARI,Tihu Reporting Unit,Gobradal MPHC
807,NALBARI,Tihu Reporting Unit,Sialmari MPHC
808,NALBARI,Tihu Reporting Unit,Makhibaha MPHC
809,NALBARI,Tihu Reporting Unit,Niz-NAMATI SHC
810,SIVASAGAR,Kaloogaon BPHC,Kaloogaon BPHC
811,SIVASAGAR,Demow BPHC,Demow BPHC
812,SIVASAGAR,Demow BPHC,Banmukh MPHC
813,SIVASAGAR,Demow BPHC,Bamrajabari MPHC
814,SIVASAGAR,Demow BPHC,Nitaipukhuri MPHC
815,SIVASAGAR,Demow BPHC,Dehingmukh SHC
816,SIVASAGAR,Demow BPHC,Konwarpur SHC
817,SIVASAGAR,Demow BPHC,Palengi MPHC
818,SIVASAGAR,Demow BPHC,Desangmukh MPHC
819,SIVASAGAR,Gaurisagar BPHC,Gaurisagar BPHC
820,SIVASAGAR,Gaurisagar BPHC,Dikhowmukh MPHC
821,SIVASAGAR,Gaurisagar BPHC,Charing MPHC
822,SIVASAGAR,Gaurisagar BPHC,Boliaghat MPHC
823,SIVASAGAR,Gaurisagar BPHC,Hafaluting MPHC
824,SIVASAGAR,Geleky BPHC,Geleky BPHC
825,SIVASAGAR,Geleky BPHC,Nazira SHC
826,SIVASAGAR,Geleky BPHC,Santak MPHC
827,SIVASAGAR,Geleky BPHC,Namtiali MPHC
828,SIVASAGAR,Geleky BPHC,Juktoli MPHC
829,SIVASAGAR,Geleky BPHC,Simaluguri MPHC
830,SIVASAGAR,Morabazar BPHC,Morabazar BPHC
831,SIVASAGAR,Morabazar BPHC,Jhanji SHC
832,SIVASAGAR,Morabazar BPHC,Dupdor MPHC
833,SIVASAGAR,Khelua BPHC,Khelua BPHC
834,SIVASAGAR,Khelua BPHC,Chunpora  Gohain Khanda MPHC
835,SIVASAGAR,Khelua BPHC,Tengapukhuri MPHC
836,SIVASAGAR,Khelua BPHC,Lakowa MPHC
837,SIVASAGAR,Khelua BPHC,Mathurapur MPHC
838,SIVASAGAR,Patsaku BPHC,Patsaku BPHC
839,SIVASAGAR,Patsaku BPHC,Bokota MPHC
840,SIVASAGAR,Patsaku BPHC,Domordolong New PHC
841,SIVASAGAR,Patsaku BPHC,Narod Kumar New PHC
842,SIVASAGAR,Patsaku BPHC,Dhemaji Desangpani SD
843,SIVASAGAR,Patsaku BPHC,Suffry MPHC
844,SIVASAGAR,Patsaku BPHC,Sepon New PHC
845,SIVASAGAR,Patsaku BPHC,Sonari Urban Health Centre
846,SIVASAGAR,Sapekhati BPHC,Sapekhati BPHC
847,SIVASAGAR,Sapekhati BPHC,Bampahter MPHC
848,SIVASAGAR,Sapekhati BPHC,BORHAT MPHC
849,SIVASAGAR,Sapekhati BPHC,Barbarukhat MPHC
850,SIVASAGAR,Sapekhati BPHC,Khariabheta MPHC
851,SIVASAGAR,Sapekhati BPHC,Dangorikumar MPHC
852,SIVASAGAR,Sapekhati BPHC,Longpotia MPHC
853,SIVASAGAR,Sapekhati BPHC,Oguri Lukhurakhan MPHC
854,SIVASAGAR,,Wood Urban Health Centre
855,SONITPUR,GOHPUR BPHC,GOHPUR PHC
856,SONITPUR,GOHPUR BPHC,KAURIPATHAR NPHC
857,SONITPUR,GOHPUR BPHC,GAMIRI NPHC
858,SONITPUR,GOHPUR BPHC,HALEM SHC
859,SONITPUR,GOHPUR BPHC,JALUKBARI NPHC
860,SONITPUR,GOHPUR BPHC,BILOTIA NPHC
861,SONITPUR,GOHPUR BPHC,PAKEN NPHC
862,SONITPUR,GOHPUR BPHC,RAUNAMUKH MPHC
863,SONITPUR,GOHPUR BPHC,KAKILA NPHC
864,SONITPUR,GOHPUR BPHC,MAJIKUCHI SHC
865,SONITPUR,GOHPUR BPHC,LOHIMUKH SHC
866,SONITPUR,GOHPUR BPHC,HOWAJAN MCWC
867,SONITPUR,GOHPUR BPHC,Kalabari SD
868,SONITPUR,GOHPUR BPHC,BISHNUBORAH PHC
869,SONITPUR,Behalli BPHC ,Behali PHC 
870,SONITPUR,Behalli BPHC ,Gingia MPHC 
871,SONITPUR,Behalli BPHC ,Bedeti PHC 
872,SONITPUR,Biswanath Chariali BPHC,Pabhoi SD
873,SONITPUR,Biswanath Chariali,Kharasimalu NPHC
874,SONITPUR,Biswanath Chariali,Japoubari NPHC
875,SONITPUR,Biswanathchariali,Biswanathghat NPHC
876,SONITPUR,Biswanath Chariali,Balichang SHC
877,SONITPUR,Biswanathchariali,Kumalia Chapori PHC
878,SONITPUR,North Jamuguri,Rangachakuwa SD
879,SONITPUR,North Jamuguri,Itakhola NPHC
880,SONITPUR,North Jamuguri,Jamuguri SHC
881,SONITPUR,North Jamuguri,Nagsankar NPHC
882,SONITPUR,North Jamuguri,Sootea NPHC
883,SONITPUR,North Jamuguri,Bheloguri NPHC
884,SONITPUR,North Jamuguri,Tewaripal NPHC
885,SONITPUR,Balipara,Chengellimari SD
886,SONITPUR,Balipara,Balipara BPHC
887,SONITPUR,Balipara,Haleswar MPHC
888,SONITPUR,Balipara,Dekargaon SD
889,SONITPUR,Balipara,Dipota NPHC
890,SONITPUR,BIHAGURI PHC,Bihaguri PHC
891,SONITPUR,BIHAGURI PHC,Borgaon NPHC
892,SONITPUR,BIHAGURI PHC,Naharbari NPHC
893,SONITPUR,BIHAGURI PHC,Bandarmari SD
894,SONITPUR,BIHAGURI PHC,Besseria SD
895,SONITPUR,BIHAGURI PHC,Ulubari NPHC
896,SONITPUR,BIHAGURI PHC,Panchmile NPHC
897,SONITPUR,BIHAGURI PHC,Bhojkhowa Riverin PHC
898,Sonitpur,Dhekiajuli BPHC,Dhekiajuli PHC
899,Sonitpur,Dhekiajuli BPHC,Borsola NPHC
900,Sonitpur,Dhekiajuli BPHC,Doomdooma  NPHC
901,Sonitpur,Dhekiajuli BPHC,Raikashmari PHC
902,Sonitpur,Dhekiajuli BPHC,Hograjuli PHC
903,Sonitpur,Dhekiajuli BPHC,Singri SD
904,Sonitpur,Dhekiajuli BPHC,1No.Basasimalu River PHC
905,Sonitpur,Dhekiajuli BPHC,Garubandha SD
906,Sonitpur,Dhekiajuli BPHC,Dighaljuli PHC
907,Sonitpur,Dhekiajuli BPHC,Kumali Devi PHC
908,Sonitpur,Dhekiajuli BPHC,Batasipur PHC
909,Sonitpur,Dhekiajuli BPHC,Rowmari SD
910,SONITPUR,Rangapara BPHC,Rangapara PHC
911,SONITPUR,Tezpur Urban,Tezpur MCWC
912,Sonitpur,Dhekiajuli BPHC,Sirajuli PHC
913,TINSUKIA,Hapjan BPHC,Hapjan BPHC
914,TINSUKIA,Hapjan BPHC,Barekuri MPHC
915,Tinsukia,Kakopather BPHC,Kakopathar BPHC
916,TINSUKIA,Kakopather BPHC,Bordirak MPHC
917,TINSUKIA,Kakopather BPHC,Phillobari SD
918,TINSUKIA,Kakopathar BPHC,Saikhowaghat SD
919,TINSUKIA,Ketetong BPHC,Ketetong BPHC
920,TINSUKIA,Ketetong BPHC,Jagun MPHC
921,TINSUKIA,Ketetong BPHC,Pengaree MPHC
922,TINSUKIA,Ketetong BPHC,Hassak MPHC
923,TINSUKIA,Ketetong BPHC,Ledo MPHC
924,TINSUKIA,Ketetong BPHC,Inthem SD
925,TINSUKIA,Ketetong BPHC,Tirap gateSD
926,TINSUKIA,Ketetong BPHC,Kothalguri SD
927,TINSUKIA,Na-Sadiya BPHC,Na-Sadiya PHC
928,TINSUKIA,Na-Sadiya BPHC,Ambikapur MPHC
929,TINSUKIA,Na-Sadiya BPHC,Santipur MPHC
930,TINSUKIA,Na-Sadiya BPHC,Amarpur Reverine PHC
931,TINSUKIA,Na-Sadiya BPHC,Sunpura New PHC
932,TINSUKIA,Hapjan BPHC,Bandarkhati New PHC
933,TINSUKIA,Hapjan BPHC,Tingrai Tiniali New PHC
934,TINSUKIA,Ketetong,Tekeri New PHC
935,TINSUKIA,Hapjan BPHC,Bordubi New PHC
936,UDALGURI,Khoirabari,Khoirabari Block PHC
937,UDALGURI,Khoirabari,Dimakuchi New PHC
938,UDALGURI,Khoirabari,Pachim Patla MPHC
939,UDALGURI,Khoirabari,Bamunjuli MPHC
940,UDALGURI,Khoirabari,Panisheli SD
941,UDALGURI,Khoirabari,Udmari MPHC
942,UDALGURI,Khoirabari,Bhergaon MPHC
943,UDALGURI,Orang,PAURIPOTA SD
944,UDALGURI,Orang,ORANG BPHC
945,UDALGURI,Orang,MAZBAT MPHC
946,UDALGURI,Orang,ROWTA MPHC
947,UDALGURI,Orang,GERUA BAZAR MPHC
948,UDALGURI,UDALGURI,Udalguri BPHC
949,UDALGURI,UDALGURI,Bhokelikanda MPHC
950,UDALGURI,UDALGURI,Dakua MPHC
951,UDALGURI,UDALGURI,Paneri SHC
952,UDALGURI,UDALGURI,Kalaigaon
953,UDALGURI,UDALGURI,KAJIAMATI
954,UDALGURI,UDALGURI,Harisinga
955,UDALGURI,UDALGURI,Bhakatpara
956,UDALGURI,UDALGURI,BANDARGURI S.D.
957,UDALGURI,UDALGURI,Pakribari
958,UDALGURI,UDALGURI,Puthimari SD
959,UDALGURI,UDALGURI,Sastrapara MPHC
960,BONGAIGAON,BOITAMARI BPHC,BOITAMARI BPHC
961,BONGAIGAON,BOITAMARI BPHC,CHALANTAPARA MPHC
962,BONGAIGAON,BOITAMARI BPHC,KACHUDOLA MPHC
963,BONGAIGAON,BOITAMARI BPHC,DHANTOLA MPHC
964,BONGAIGAON,BOITAMARI BPHC,BISHNUPUR SD
965,BONGAIGAON,BONGAIGAON BPHC,BONGAIGAON BPHC
966,BONGAIGAON,BONGAIGAON BPHC,CHAPRAKATA MPHC
967,BONGAIGAON,BONGAIGAON BPHC,CHIPANSILA MPHC
968,BONGAIGAON,BONGAIGAON BPHC,KHAGARPUR MPHC
969,BONGAIGAON,BONGAIGAON BPHC,MAJGAON SD
970,BONGAIGAON,BONGAIGAON BPHC,MULAGAON MPHC
971,BONGAIGAON,BONGAIGAON BPHC,PANCHAPUR MPHC
972,BONGAIGAON,MANIKPUR BPHC,BHANDARA CHAR PHC
973,BONGAIGAON,MANIKPUR BPHC,DOMPARA MPHC
974,BONGAIGAON,MANIKPUR BPHC,FAGUNAGAON MPHC
975,BONGAIGAON,MANIKPUR BPHC,JHAWBARI SD
976,BONGAIGAON,MANIKPUR BPHC,MANIKPUR BPHC
977,BONGAIGAON,MANIKPUR BPHC,PATILADAHA MPHC
978,BONGAIGAON,SRIJANGRAM BPHC,ABHAYAPURI SD
979,BONGAIGAON,SRIJANGRAM BPHC,AMGURI MPHC
980,BONGAIGAON,SRIJANGRAM BPHC,CHAKLA KOKILA SD
981,BONGAIGAON,SRIJANGRAM BPHC,DUMERGURI MPHC
982,BONGAIGAON,SRIJANGRAM BPHC,KIRTANPARA PHC
983,BONGAIGAON,SRIJANGRAM BPHC,LENGTISINGA MPHC
984,BONGAIGAON,SRIJANGRAM BPHC,MERERCHAR PHC
985,BONGAIGAON,SRIJANGRAM BPHC,NORTH SALMARA SD
986,BONGAIGAON,SRIJANGRAM BPHC,PACHANIA MPHC
987,BONGAIGAON,SRIJANGRAM BPHC,RANGAPANI SD
988,BONGAIGAON,SRIJANGRAM BPHC,SIDALSATI MPHC
989,BONGAIGAON,SRIJANGRAM BPHC,SRIJANGRAM BPHC
990,CHIRANG,BALLAMGURI,BALLAMGURI BPHC
991,CHIRANG,BALLAMGURI,GARGAON PHC
992,CHIRANG,BALLAMGURI,ALUKHUNDA PHC
993,CHIRANG,BALLAMGURI,MAKRA PATKIGURI MPHC
994,CHIRANG,BALLAMGURI,AMTEKA MPHC
995,CHIRANG,BALLAMGURI,BOROBAZAR SD
996,CHIRANG,BALLAMGURI,BIJNI SD
997,CHIRANG,BALLAMGURI,AMGURI SD
998,CHIRANG,BALLAMGURI,ULUBARI SHC
999,CHIRANG,BALLAMGURI,PANBARI SHC
1000,CHIRANG,BALLAMGURI,SUBHAIJHAR SD
1001,CHIRANG,BALLAMGURI,KOILAMOILA SHC
1002,CHIRANG,SIDLI BPHC,Sidli
1003,CHIRANG,SIDLI BPHC,Garubhasa SD
1004,CHIRANG,SIDLI BPHC,Rowmari SD
1005,CHIRANG,SIDLI BPHC,Ouguri MPHC
1006,CHIRANG,SIDLI BPHC,Ranchaidham SD
1007,CHIRANG,SIDLI BPHC,Runikhata SD
1008,CHIRANG,SIDLI BPHC,Kinaborgaon MPHC
1009,CHIRANG,SIDLI BPHC,Basugaon MPHC
1010,CHIRANG,SIDLI BPHC,Champabati MPHC
1011,CHIRANG,SIDLI BPHC,Sidli
1012,CHIRANG,,Bishnupur no. 2
1013,CHIRANG,SIDLI BPHC,Bhirengaon SD
1014,CHIRANG,SIDLI BPHC,Shantipur SD
